�,date,city,home_team,away_team,home_ft,away_ft,tournament
"1872-11-30,""Glasgow, Scotland"",Scotland,England,0,0,Friendly"
"1873-03-08,""London, England"",England,Scotland,4,2,Friendly"
"1874-03-07,""Glasgow, Scotland"",Scotland,England,2,1,Friendly"
"1875-03-06,""London, England"",England,Scotland,2,2,Friendly"
"1876-03-04,""Glasgow, Scotland"",Scotland,England,3,0,Friendly"
"1876-03-25,""Glasgow, Scotland"",Scotland,Wales,4,0,Friendly"
"1877-03-03,""London, England"",England,Scotland,1,3,Friendly"
"1877-03-05,""Wrexham, Wales"",Wales,Scotland,0,2,Friendly"
"1878-03-02,""Glasgow, Scotland"",Scotland,England,7,2,Friendly"
"1878-03-23,""Glasgow, Scotland"",Scotland,Wales,9,0,Friendly"
"1879-01-18,""London, England"",England,Wales,2,1,Friendly"
"1879-04-05,""London, England"",England,Scotland,5,4,Friendly"
"1879-04-07,""Wrexham, Wales"",Wales,Scotland,0,3,Friendly"
"1880-03-13,""Glasgow, Scotland"",Scotland,England,5,4,Friendly"
"1880-03-15,""Wrexham, Wales"",Wales,England,2,3,Friendly"
"1880-03-27,""Glasgow, Scotland"",Scotland,Wales,5,1,Friendly"
"1881-02-26,""Blackburn, England"",England,Wales,0,1,Friendly"
"1881-03-12,""London, England"",England,Scotland,1,6,Friendly"
"1881-03-14,""Wrexham, Wales"",Wales,Scotland,1,5,Friendly"
"1882-03-11,""Glasgow, Scotland"",Scotland,England,5,1,Friendly"
"1882-03-13,""Wrexham, Wales"",Wales,England,5,3,Friendly"
"1882-03-25,""Glasgow, Scotland"",Scotland,Wales,5,0,Friendly"
"1883-02-03,""London, England"",England,Wales,5,0,Friendly"
"1883-03-10,""Sheffield, England"",England,Scotland,2,3,Friendly"
"1883-03-12,""Wrexham, Wales"",Wales,Scotland,0,3,Friendly"
"1884-03-15,""Glasgow, Scotland"",Scotland,England,1,0,British Championship"
"1884-03-17,""Wrexham, Wales"",Wales,England,0,4,British Championship"
"1884-03-29,""Glasgow, Scotland"",Scotland,Wales,4,1,British Championship"
"1885-03-14,""Blackburn, England"",England,Wales,1,1,British Championship"
"1885-03-21,""London, England"",England,Scotland,1,1,British Championship"
"1885-03-23,""Wrexham, Wales"",Wales,Scotland,1,8,British Championship"
"1886-03-27,""Glasgow, Scotland"",Scotland,England,1,1,British Championship"
"1886-03-29,""Wrexham, Wales"",Wales,England,1,3,British Championship"
"1886-04-10,""Glasgow, Scotland"",Scotland,Wales,4,1,British Championship"
"1887-02-26,""London, England"",England,Wales,4,0,British Championship"
"1887-03-19,""Blackburn, England"",England,Scotland,2,3,British Championship"
"1887-03-21,""Wrexham, Wales"",Wales,Scotland,0,2,British Championship"
"1888-03-10,""Edinburgh, Scotland"",Scotland,Wales,5,1,British Championship"
"1888-03-17,""Glasgow, Scotland"",Scotland,England,0,5,British Championship"
"1889-02-23,""Stoke-on-Trent, England"",England,Wales,4,1,British Championship"
"1889-04-13,""London, England"",England,Scotland,2,3,British Championship"
"1889-04-15,""Wrexham, Wales"",Wales,Scotland,0,0,British Championship"
"1890-03-15,""Wrexham, Wales"",Wales,England,1,3,British Championship"
"1890-03-22,""Paisley, Scotland"",Scotland,Wales,5,0,British Championship"
"1890-04-05,""Glasgow, Scotland"",Scotland,England,1,1,British Championship"
"1891-03-07,""Sunderland, England"",England,Wales,4,1,British Championship"
"1891-03-21,""Wrexham, Wales"",Wales,Scotland,3,4,British Championship"
"1892-03-05,""Wrexham, Wales"",Wales,England,0,2,British Championship"
"1892-03-26,""Edinburgh, Scotland"",Scotland,Wales,6,1,British Championship"
"1892-04-02,""Glasgow, Scotland"",Scotland,England,1,4,British Championship"
"1893-03-13,""Stoke-on-Trent, England"",England,Wales,6,0,British Championship"
"1893-03-18,""Wrexham, Wales"",Wales,Scotland,0,8,British Championship"
"1893-04-01,""Richmond, England"",England,Scotland,5,2,British Championship"
"1894-03-12,""Wrexham, Wales"",Wales,England,1,5,British Championship"
"1894-03-24,""Kilmarnock, Scotland"",Scotland,Wales,5,2,British Championship"
"1894-04-07,""Glasgow, Scotland"",Scotland,England,2,2,British Championship"
"1895-03-18,""London, England"",England,Wales,1,1,British Championship"
"1895-03-23,""Wrexham, Wales"",Wales,Scotland,2,2,British Championship"
"1895-04-06,""Liverpool, England"",England,Scotland,3,0,British Championship"
"1896-03-16,""Cardiff, Wales"",Wales,England,1,9,British Championship"
"1896-03-21,""Dundee, Scotland"",Scotland,Wales,4,0,British Championship"
"1896-04-04,""Glasgow, Scotland"",Scotland,England,2,1,British Championship"
"1897-03-20,""Wrexham, Wales"",Wales,Scotland,2,2,British Championship"
"1897-03-29,""Sheffield, England"",England,Wales,4,0,British Championship"
"1897-04-03,""London, England"",England,Scotland,1,2,British Championship"
"1898-03-19,""Motherwell, Scotland"",Scotland,Wales,5,2,British Championship"
"1898-03-28,""Wrexham, Wales"",Wales,England,0,3,British Championship"
"1898-04-02,""Glasgow, Scotland"",Scotland,England,1,3,British Championship"
"1899-03-18,""Wrexham, Wales"",Wales,Scotland,0,6,British Championship"
"1899-03-20,""Bristol, England"",England,Wales,4,0,British Championship"
"1899-04-08,""Birmingham, England"",England,Scotland,2,1,British Championship"
"1900-02-03,""Aberdeen, Scotland"",Scotland,Wales,5,2,British Championship"
"1900-03-26,""Cardiff, Wales"",Wales,England,1,1,British Championship"
"1900-04-07,""Glasgow, Scotland"",Scotland,England,4,1,British Championship"
"1901-03-02,""Wrexham, Wales"",Wales,Scotland,1,1,British Championship"
"1901-03-18,""Newcastle, England"",England,Wales,6,0,British Championship"
"1901-03-30,""London, England"",England,Scotland,2,2,British Championship"
"1902-03-03,""Wrexham, Wales"",Wales,England,0,0,British Championship"
"1902-03-15,""Greenock, Scotland"",Scotland,Wales,5,1,British Championship"
"1902-05-03,""Birmingham, England"",England,Scotland,2,2,British Championship"
"1902-07-20,""Montevideo, Uruguay"",Uruguay,Argentina,0,6,Friendly"
"1903-03-02,""Portsmouth, England"",England,Wales,2,1,British Championship"
"1903-03-09,""Cardiff, Wales"",Wales,Scotland,0,1,British Championship"
"1903-04-04,""Sheffield, England"",England,Scotland,1,2,British Championship"
